signal,events
P-1,"[[1331272800, 1335592800], [1382832000, 1389484800], [1361296800, 1366480800]]"
S-1,"[[1398168000, 1407823200]]"
E-1,"[[1393027200, 1393675200], [1406203200, 1416484800]]"
E-2,"[[1405944000, 1436119200]]"
E-3,"[[1395057600, 1465905600]]"
E-4,"[[1402747200, 1463464800]]"
E-5,"[[1405987200, 1412899200]]"
E-6,"[[1406203200, 1407607200]]"
E-7,"[[1399140000, 1405188000]]"
E-8,"[[1401667200, 1415102400]]"
E-9,"[[1404907200, 1412467200]]"
E-10,"[[1393027200, 1394107200], [1406008800, 1411840800]]"
E-11,"[[1393027200, 1394107200], [1406289600, 1411538400]]"
E-12,"[[1406203200, 1417672800], [1393027200, 1394107200]]"
E-13,"[[1399701600, 1401883200], [1405987200, 1406851200], [1424325600, 1426917600]]"
A-1,"[[1386331200, 1388145600]]"
D-1,"[[1397757600, 1470009600]]"
P-2,"[[1399312800, 1425772800]]"
P-3,"[[1401148800, 1429984800]]"
D-2,"[[1378317600, 1469404800]]"
D-3,"[[1397887200, 1468627200]]"
D-4,"[[1396872000, 1467612000]]"
A-2,"[[1376136000, 1378512000]]"
A-3,"[[1380736800, 1384732800]]"
A-4,"[[1379203200, 1381579200]]"
G-1,"[[1386763200, 1389355200]]"
G-2,"[[1363392000, 1364256000]]"
D-5,"[[1381816800, 1382896800]]"
D-6,"[[1384041600, 1385769600]]"
D-7,"[[1385316000, 1443852000]]"
F-1,"[[1401256800, 1403416800]]"
P-4,"[[1299693600, 1302501600], [1325613600, 1329933600], [1382205600, 1384581600]]"
G-3,"[[1370217600, 1371297600]]"
T-1,"[[1336737600, 1369116000], [1426399200, 1427155200]]"
T-2,"[[1432231200, 1471046400]]"
D-8,"[[1373414400, 1374494400]]"
D-9,"[[1413612000, 1443960000]]"
F-2,"[[1407067200, 1476316800]]"
G-4,"[[1379224800, 1379872800]]"
T-3,"[[1330257600, 1332028800], [1397260800, 1399420800]]"
D-11,"[[1371448800, 1372744800]]"
D-12,"[[1341403200, 1405965600]]"
B-1,"[[1384711200, 1386223200]]"
G-6,"[[1406008800, 1408168800]]"
G-7,"[[1354492800, 1356652800], [1384732800, 1385812800], [1438948800, 1441432800]]"
P-7,"[[1391364000, 1427004000]]"
R-1,"[[1382313600, 1384041600]]"
A-5,"[[1297447200, 1298527200]]"
A-6,"[[1278374400, 1279238400]]"
A-7,"[[1418925600, 1470765600]]"
D-13,"[[1364515200, 1367971200]]"
P-2,"[[1398232800, 1422424800]]"
A-8,"[[1337968800, 1425556800]]"
A-9,"[[1337968800, 1426831200]]"
F-3,"[[1405987200, 1406851200]]"
M-6,"[[1296583200, 1300471200]]"
M-1,"[[1294509600, 1319133600]]"
M-2,"[[1294488000, 1319112000]]"
S-2,"[[1262260800, 1262476800]]"
P-10,"[[1415016000, 1417824000]]"
T-4,"[[1297209600, 1298678400]]"
T-5,"[[1297814400, 1298354400]]"
F-7,"[[1304056800, 1308376800], [1334728800, 1337320800], [1348876800, 1351036800]]"
M-3,"[[1293818400, 1299218400]]"
M-4,"[[1294660800, 1300060800]]"
M-5,"[[1293710400, 1300190400]]"
P-15,"[[1332374400, 1332806400]]"
C-1,"[[1281312000, 1285632000], [1314792000, 1317168000]]"
C-2,"[[1245585600, 1247745600], [1272585600, 1273341600]]"
T-12,"[[1261159200, 1263751200]]"
T-13,"[[1262455200, 1264615200], [1288591200, 1291831200]]"
F-4,"[[1329609600, 1331121600]]"
F-5,"[[1355616000, 1358856000]]"
D-14,"[[1337407200, 1337839200], [1341079200, 1345399200]]"
T-9,"[[1249149600, 1249797600], [1251525600, 1253253600]]"
P-14,"[[1383847200, 1387735200]]"
T-8,"[[1257768000, 1259064000], [1267704000, 1268568000]]"
P-11,"[[1346954400, 1349546400], [1335290400, 1337580000]]"
D-15,"[[1300017600, 1313841600]]"
D-16,"[[1267120800, 1281160800]]"
M-7,"[[1277402400, 1279562400]]"
F-8,"[[1337126400, 1351706400]]"
art_daily_flatmiddle,"[[1397106900,1397227500]]"
art_daily_jumpsdown,"[[1397139300,1397259900]]"
art_daily_jumpsup,"[[1397139300,1397259900]]"
art_daily_nojump,"[[1397139300,1397259900]]"
art_increase_spike_density,"[[1396844700,1396965300]]"
art_load_balancer_spikes,"[[1397123400,1397244000]]"
ec2_cpu_utilization_24ae8d,"[[1393418700,1393478700],[1393487700,1393547700]]"
ec2_cpu_utilization_53ea38,"[[1392803400,1392863400],[1393152300,1393212300]]"
ec2_cpu_utilization_5f5533,"[[1392735720,1392795720],[1393233420,1393293420]]"
ec2_cpu_utilization_77c1ca,"[[1396971000,1397091600]]"
ec2_cpu_utilization_825cc2,"[[1397539440,1397642040]]"
ec2_cpu_utilization_ac20cd,"[[1397454540,1397576040]]"
ec2_cpu_utilization_c6585a,[]
ec2_cpu_utilization_fe7f93,"[[1392593820,1392634020],[1393003620,1393043820],[1393144920,1393185120]]"
ec2_disk_write_bytes_1ef3de,"[[1394411340,1394552940]]"
ec2_disk_write_bytes_c0d644,"[[1396979700,1397019900],[1397113200,1397153400],[1397330700,1397370900]]"
ec2_network_in_257a54,"[[1397512740,1397633340]]"
ec2_network_in_5abac7,"[[1394438760,1394509560],[1394619060,1394689860]]"
elb_request_count_8c0756,"[[1397286240,1397346240],[1398158040,1398218040]]"
grok_asg_anomaly,"[[1390179900,1390226100],[1390274400,1390320600],[1390929600,1390975800]]"
iio_us-east-1_i-a2eb1cd9_NetworkIn,"[[1381394100,1381412700],[1381421100,1381439700]]"
rds_cpu_utilization_cc0c53,"[[1393278600,1393338900],[1393428600,1393488600]]"
rds_cpu_utilization_e47b3b,"[[1397334720,1397394720],[1397826420,1397886420]]"
exchange-2_cpc_results,"[[1310349601,1310932801]]"
exchange-2_cpm_results,"[[1311508801,1311796801],[1312840801,1313132401]]"
exchange-3_cpc_results,"[[1310541301,1310721301],[1311059701,1311239701],[1313126101,1313320501]]"
exchange-3_cpm_results,"[[1313482501,1314051301]]"
exchange-4_cpc_results,"[[1310703301,1310897701],[1312175701,1312377301],[1313982901,1314177301]]"
exchange-4_cpm_results,"[[1310728501,1310872501],[1312103701,1312254901],[1314008101,1314152101],[1314458101,1314602101]]"
ambient_temperature_system_failure,"[[1387087200,1388390400],[1396101600,1398024000]]"
cpu_utilization_asg_misconfiguration,"[[1404988140,1405437540]]"
ec2_request_latency_system_failure,"[[1394764260,1394804460],[1395158760,1395198960],[1395347160,1395369660]]"
machine_temperature_system_failure,"[[1386653100,1386822900],[1387126200,1387296000],[1390828800,1390998600],[1391781300,1391951100]]"
nyc_taxi,"[[1414679400,1415050200],[1416913200,1417284000],[1419330600,1419701400],[1419885000,1420255800],[1422127800,1422498600]]"
rogue_agent_key_hold,"[[1405391700,1405423500],[1405569000,1405658700]]"
rogue_agent_key_updown,"[[1405350000,1405429200],[1405540200,1405619400]]"
TravelTime_387,"[[1437987360,1438358460],[1439805060,1440028440],[1441028640,1441105560]]"
TravelTime_451,"[[1439135820,1439402460]]"
occupancy_6005,"[[1442245500,1442330640]]"
occupancy_t4013,"[[1442357940,1442402340],[1442442000,1442488200]]"
speed_6005,"[[1442421600,1442499840]]"
speed_7578,"[[1441978440,1441986840],[1442316360,1442325240],[1442401440,1442409600],[1442412000,1442420400]]"
speed_t4013,"[[1442357040,1442402040],[1442442600,1442489400]]"
Twitter_volume_AAPL,"[[1425353873,1425472673],[1425859373,1425978173],[1426411673,1426530473],[1427705873,1427824673]]"
Twitter_volume_AMZN,"[[1425522173,1425640373],[1426044773,1426162973],[1427859173,1427977373],[1428402473,1428520673]]"
Twitter_volume_CRM,"[[1425844973,1426003973],[1426723373,1426882373],[1427313773,1427472773]]"
Twitter_volume_CVS,"[[1425421973,1425641273],[1427315873,1427434673],[1428984473,1429103273]]"
Twitter_volume_FB,"[[1426367573,1426604573],[1427957573,1428194573]]"
Twitter_volume_GOOG,"[[1426215173,1426406273],[1427001773,1427120573],[1427799473,1427918273]]"
Twitter_volume_IBM,"[[1427026973,1427265173],[1429434173,1429672373]]"
Twitter_volume_KO,"[[1426774373,1426932773],[1428450173,1428608573],[1428936773,1429095173]]"
Twitter_volume_PFE,"[[1425268373,1425387173],[1425402173,1425520973],[1426213673,1426332473],[1428383573,1428502373]]"
Twitter_volume_UPS,"[[1425291473,1425386273],[1425416273,1425511073],[1425517973,1425612773],[1427170073,1427264873],[1427591873,1427686673]]"
